,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,H2O,CO2,SO3,Cl2O-1,F2O-1
0,66.06640588,0.548860904,15.62438485,,,3.732880037,0.076576136,1.524711474,,,3.776395608,3.642991494,3.377294233,0.17994505,,,,,
1,59.48855829,0.885564461,16.8933121,,,6.088012153,0.105993532,3.120577423,,,5.791956419,3.472645844,2.432115825,0.214490453,,,,,
2,63.81192165,0.644780513,16.61755423,,,4.147709044,0.08526922,1.756226002,,,4.521934721,4.016626806,2.876374211,0.219198426,,,,,
3,68.59135443,0.438112479,15.64036682,,,2.427770903,0.063994995,0.777234415,,,2.696797238,4.550225641,3.315973433,0.162275087,,,,,
4,75.82046308,0.081973439,12.94619853,,,0.663837051,0.031222587,0.089307918,,,0.702541634,4.374870147,4.00942002,0.00879351,,,,,
5,67.62292822,0.475611443,15.90044282,,,2.794763941,0.056633672,0.875509453,,,3.407064418,4.469776523,2.902462497,0.195938804,,,,,
6,76.36361256,0.069413154,12.65455713,,,0.517921571,0.023925037,0.054597604,,,0.54002262,3.972797206,4.609558798,0.005900858,,,,,
7,65.146071,0.546540581,16.1259916,,,3.654955399,0.072742076,1.580362576,,,3.875722364,3.658421306,3.755210741,0.195418219,,,,,
8,76.61621342,0.079308938,12.48142877,,,0.623441156,0.026244603,0.055272169,,,0.530664537,3.981179198,4.460937218,0.003877476,,,,,
9,69.49499025,0.447259512,14.88105173,,,2.559605677,0.061802504,0.80450571,,,2.784781005,4.268706928,3.132742829,0.168058643,,,,,
10,72.09994703,0.415365982,13.76032807,,,2.297898837,0.056215882,0.663826234,,,2.502646318,4.115074932,2.556104494,0.145951988,,,,,
11,63.81618057,0.646806865,16.61810163,,,4.147354237,0.085604345,1.75724334,,,4.526257913,4.023829731,2.872901841,0.219795945,,,,,
12,59.01550345,1.053682448,17.06985626,,,5.969633464,0.095455925,1.48889822,,,4.890791017,4.211270295,2.915456139,0.494569867,,,,,
13,69.3641837,0.499560635,15.34799882,,,2.475277001,0.033926905,0.757784293,,,1.915577394,4.122347579,4.485964202,0.13544054,,,,,
14,64.43294779,0.847825781,15.26564094,,,6.228025983,0.153844507,1.535865582,,,5.699089378,3.844433225,0.781191212,0.159027735,,,,,
15,59.38,1.05,17.11,,,6.08,0.0966,1.508,,,4.89,4.251,2.935,0.4927,,,,,
16,68.74,0.4799,15.31,,,2.382,0.0306,0.754,,,1.91,4.045,4.5,0.129,,,,,
17,64.43,0.85,15.19,,,6.301,0.1543,1.54,,,5.72,3.91,0.779,0.1595,,,,,
